symbol,ltp,change,Hight,low,open,qty,pclose,diff
GVL,482.00,0.37,484.00,476.00,479.00,"6,322",480.20,1.8
H8020,12.20,0,12.20,11.86,11.90,"3,900",12.20,0
HATHY,693.00,1.04,694.50,681.00,681.20,"4,014",685.90,7.1
HBL,194.80,-0.05,197.00,193.00,194.00,"33,399",194.90,-0.1
HDHPC,208.00,-0.91,210.70,208.00,210.00,"71,273",209.90,-1.9
HDL,"1,167.00",0,"1,175.00","1,165.10","1,170.00","12,427","1,167.00",0
HEI,534.00,-0.56,538.70,532.10,532.20,"2,186",537.00,-3
HEIP,332.00,-1.63,339.00,332.00,337.90,"3,160",337.50,-5.5
HFIN,699.00,-1.41,708.90,692.00,701.00,"21,761",709.00,-10
HHL,337.00,0.18,344.00,335.00,340.00,"8,753",336.40,0.6
HIDCL,254.00,-0.24,258.00,252.10,252.10,"20,564",254.60,-0.6
HIDCLP,187.50,-1.26,189.90,187.00,189.90,"54,196",189.90,-2.4
HIMSTAR,696.00,-1.69,707.80,690.00,696.00,"4,565",708.00,-12
HLBSL,870.00,-1.14,874.90,870.00,870.00,217,880.00,-10
HLI,319.70,-0.06,322.00,318.00,319.00,"14,437",319.90,-0.2
HLICF,8.94,5.18,8.95,8.25,8.25,"2,934",8.50,0.44
HPPL,380.00,-2.06,387.50,373.10,384.00,"165,076",388.00,-8
HRL,583.00,-0.17,604.30,580.00,604.30,"32,994",584.00,-1
HURJA,238.00,-0.46,239.80,237.00,238.00,"29,557",239.10,-1.1
ICFC,603.00,-0.33,605.00,600.00,601.10,"7,627",605.00,-2
ICFCD89,"1,092.00",0.18,"1,092.00","1,085.00","1,085.00",222,"1,090.00",2
IGI,430.00,0.23,432.00,427.00,429.00,"7,761",429.00,1
IHL,346.00,-0.57,353.00,345.10,348.00,"4,109",348.00,-2
ILBS,876.90,-0.24,886.00,860.00,878.90,"1,049",879.00,-2.1
ILI,412.40,0.29,414.00,409.00,409.00,"5,178",411.20,1.2
JBBL,340.00,-0.87,350.00,338.00,350.00,"31,771",343.00,-3
JBLB,"1,260.80",0.06,"1,268.00","1,255.00","1,260.10","2,340","1,260.00",0.8
JFL,384.50,-1.66,389.00,384.00,385.00,"6,409",391.00,-6.5
JHAPA,"1,090.00",-0.73,"1,096.90","1,065.00","1,086.00","4,949","1,098.00",-8
JOSHI,283.00,-0.35,289.00,280.20,288.00,"73,222",284.00,-1
JSLBB,980.00,-1.01,980.00,980.00,980.00,200,990.00,-10
KAHL,542.20,-2.22,555.00,537.20,554.50,"31,077",554.50,-12.3
KBL,215.00,-0.46,218.00,214.60,218.00,"187,087",216.00,-1
KBLD89,"1,275.00",0,"1,290.00","1,275.00","1,290.00","1,200","1,275.00",0
KBSH,980.00,1.03,997.00,950.00,950.00,"22,696",970.00,10
KDBY,11.09,-0.18,11.15,11.05,11.11,"29,060",11.11,-0.02
KDL,774.00,-0.77,780.00,766.20,780.00,567,780.00,-6
KEF,10.50,0,11.00,10.50,10.80,"127,690",10.50,0
KHPL,816.00,-0.24,830.00,802.00,810.00,"6,987",818.00,-2
KKHC,323.00,0.94,329.00,315.10,320.00,"425,658",320.00,3
KMCDB,777.00,2.21,780.00,760.00,771.80,"5,331",760.20,16.8
KPCL,468.00,-0.02,470.00,466.80,468.10,"3,501",468.10,-0.1
KSBBL,473.60,0.34,475.80,470.00,470.10,"14,143",472.00,1.6
KSY,9.52,0.21,9.53,9.23,9.23,"43,030",9.50,0.02
LBBL,491.90,0.18,492.00,486.00,486.00,"27,592",491.00,0.9
LBBLD89,"1,260.00",0.69,"1,260.00","1,260.00","1,260.00",50,"1,251.40",8.6
LEC,221.20,-1.25,235.20,220.00,235.20,"76,335",224.00,-2.8
LICN,774.90,-0.14,790.00,771.20,790.00,"1,328",776.00,-1.1
LLBS,885.00,-1.1,885.00,870.00,871.00,155,894.80,-9.8
LSH12,9.20,-1.6,9.20,8.85,9.07,"5,900",9.35,-0.15
LSL,220.20,-1.17,222.00,218.60,222.00,"58,669",222.80,-2.6
LUK,10.69,-0.09,10.69,10.69,10.69,"1,300",10.70,-0.01
LVF2,9.06,-2.58,9.10,9.03,9.10,"5,300",9.30,-0.24
MABEL,593.00,-0.44,610.00,586.30,595.00,"3,650",595.60,-2.6
MAKAR,429.80,-1.2,435.10,428.60,435.00,"31,056",435.00,-5.2
MANDU,798.00,-0.99,810.00,796.50,802.00,"5,828",806.00,-8
MATRI,811.00,-0.15,825.00,810.00,815.00,488,812.20,-1.2
MBJC,267.00,-0.15,267.40,265.30,266.00,"4,538",267.40,-0.4
MBL,255.00,0.79,255.80,250.50,253.00,"87,239",253.00,2
MBLEF,10.28,0,10.37,10.21,10.28,"758,456",10.28,0
MCHL,282.00,0.68,286.00,276.00,285.00,"4,818",280.10,1.9
MDB,578.20,0.03,583.70,576.20,576.20,"3,256",578.00,0.2
MEHL,296.00,-0.34,297.00,291.00,294.10,"3,838",297.00,-1
MEL,214.90,0.14,215.10,212.00,212.00,"17,055",214.60,0.3
MEN,595.10,-0.83,601.00,595.00,595.00,"43,063",600.10,-5
MERO,661.20,-0.72,675.00,661.20,675.00,"2,700",666.00,-4.8
MFIL,775.00,-1.27,777.00,755.00,755.00,"16,576",785.00,-10
MHCL,308.00,-1.31,319.00,305.20,310.00,"4,148",312.10,-4.1
MHL,470.00,0.32,473.80,464.00,465.00,"3,960",468.50,1.5
MHNL,242.00,0.88,242.00,237.50,237.70,"3,176",239.90,2.1
MKCL,"1,075.00",1.22,"1,075.00","1,041.00","1,041.00","2,299","1,062.00",13
MKHC,280.00,-2.03,293.00,266.00,271.60,"356,138",285.80,-5.8
MKHL,494.90,-0.08,495.00,483.20,483.20,829,495.30,-0.4
MKJC,453.00,-0.88,460.80,450.10,455.80,"6,876",457.00,-4
MLBBL,"1,119.00",-0.18,"1,119.00","1,110.00","1,115.00",306,"1,121.00",-2
MLBL,350.90,-0.96,354.00,350.40,353.80,"19,251",354.30,-3.4
MLBS,"1,152.50",2.99,"1,152.50","1,119.00","1,130.00",158,"1,119.00",33.5
MLBSL,"1,620.00",1.25,"1,620.00","1,601.00","1,601.00",445,"1,600.00",20
MMF1,8.88,1.49,9.15,8.32,8.32,"14,980",8.75,0.13
MMKJL,454.90,-0.68,459.00,436.50,455.00,"6,085",458.00,-3.1
MNBBL,366.30,-0.87,369.80,366.00,368.00,"17,348",369.50,-3.2
MNMF1,9.80,2.08,9.80,9.50,9.53,"13,700",9.60,0.2
MPFL,613.00,0.33,613.00,601.10,601.10,"7,828",611.00,2
MSHL,608.00,-0.16,625.50,608.00,608.00,"1,103",609.00,-1
MSLB,"1,258.00",0.24,"1,265.00","1,230.00","1,230.00",909,"1,255.00",3
NABBC,825.40,-2.09,840.00,825.40,840.00,"13,163",843.00,-17.6
NABIL,556.00,0.72,560.00,550.10,552.00,"83,780",552.00,4
NABILD2089,"1,040.00",0,"1,040.00","1,040.00","1,040.00",25,"1,040.00",0
NADEP,729.00,-0.14,730.00,716.00,730.00,570,730.00,-1
NBF2,10.10,2.02,10.10,9.81,9.81,"2,280",9.90,0.2
NBF3,9.55,0.42,9.79,9.23,9.51,"4,830",9.51,0.04
NBL,269.90,0.33,270.00,265.00,265.10,"72,438",269.00,0.9
NESDO,"1,458.00",-0.75,"1,458.00","1,439.50","1,455.00",774,"1,469.00",-11
NFS,567.40,-0.11,575.00,566.20,568.00,"1,379",568.00,-0.6
NGPL,408.70,-0.99,416.00,408.00,413.70,"74,059",412.80,-4.1
NHDL,640.00,-0.16,644.00,630.50,635.00,"3,032",641.00,-1
NHPC,273.00,-1.48,280.00,263.30,263.30,"191,698",277.10,-4.1
NIBLSTF,8.79,0,8.80,8.53,8.60,"6,700",8.79,0
NIBSF2,8.76,-2.67,8.76,8.74,8.74,600,9.00,-0.24
NICA,326.00,-0.58,327.00,325.00,327.00,"43,627",327.90,-1.9
NICBF,9.57,5.16,9.57,9.10,9.10,"1,200",9.10,0.47
NICFC,9.37,2.63,9.37,9.10,9.10,"4,800",9.13,0.24
NICGF2,9.18,0,9.18,9.05,9.05,"1,010",9.18,0
NICL,499.00,-0.2,513.40,495.00,513.40,"10,404",500.00,-1
NICLBSL,547.00,-0.36,552.00,545.00,545.20,"7,143",549.00,-2
NICSF,8.90,3.97,8.95,8.56,8.56,"6,700",8.56,0.34
NIFRA,245.10,-0.37,247.90,245.00,246.00,"40,495",246.00,-0.9
NIFRAGED,"1,030.00",0.19,"1,050.00","1,030.00","1,046.00","1,589","1,028.00",2
NIL,615.90,0.13,618.00,600.00,615.00,"8,458",615.10,0.8
NIMB,195.00,-0.46,197.90,193.10,196.10,"75,911",195.90,-0.9
NIMBPO,145.00,2.11,148.00,142.10,145.90,"27,255",142.00,3
NLG,570.00,0.53,573.00,551.00,551.00,"1,670",567.00,3
NLIC,739.80,-0.54,744.00,739.50,743.80,"18,768",743.80,-4
NLICL,562.00,-1.4,570.00,562.00,570.00,"16,965",570.00,-8
NMB,243.10,-0.33,245.00,240.10,242.00,"49,980",243.90,-0.8
NMB50,10.38,-2.08,10.70,10.38,10.70,"7,283",10.60,-0.22
NMBHF2,9.70,1.04,9.70,9.53,9.53,"16,200",9.60,0.1
NMBMF,616.00,0.21,616.90,600.30,600.40,707,614.70,1.3
NMFBS,"1,101.40",-0.33,"1,111.00","1,101.30","1,106.00","7,110","1,105.00",-3.6
NMIC,910.00,-0.33,932.80,905.10,932.80,"1,872",913.00,-3
NMLBBL,515.10,-0.17,525.60,510.00,525.60,"6,361",516.00,-0.9
NRIC,932.00,-0.73,939.00,920.00,935.00,"7,177",938.90,-6.9
NRM,305.10,-1.74,310.00,305.10,308.10,"4,650",310.50,-5.4
NRN,"1,371.00",-1.15,"1,390.00","1,370.00","1,387.00","51,374","1,387.00",-16
NSIF2,10.80,1.12,10.80,10.65,10.65,"48,900",10.68,0.12
NSY,9.20,0,9.30,9.06,9.19,"23,000",9.20,0
NTC,863.90,0.22,870.90,862.00,870.90,"8,319",862.00,1.9
NUBL,605.40,-1.24,610.00,602.00,602.00,"2,996",613.00,-7.6
NWCL,688.00,-1.28,690.00,680.00,681.00,"4,545",696.90,-8.9
NYADI,370.00,-0.59,375.00,364.00,367.30,"5,382",372.20,-2.2
OHL,665.00,-0.75,671.00,652.00,652.00,"2,378",670.00,-5
OMPL,893.00,-1.33,917.00,890.00,910.00,"4,184",905.00,-12
PBD84,"1,069.00",-2.99,"1,069.00","1,069.00","1,069.00",25,"1,102.00",-33
PCBL,240.00,-0.04,244.50,238.20,244.50,"41,391",240.10,-0.1
PCIL,622.30,-2,640.00,619.00,630.00,"23,281",635.00,-12.7
PHCL,296.00,-0.5,299.20,294.20,294.20,"27,204",297.50,-1.5
PMHPL,318.00,-0.31,324.00,312.10,312.10,"6,014",319.00,-1
PMLI,437.50,-0.27,442.00,431.10,431.10,"1,893",438.70,-1.2
PPCL,338.90,-0.32,357.00,336.00,357.00,"4,212",340.00,-1.1
PPL,328.40,-0.48,329.90,313.50,313.50,"9,314",330.00,-1.6
PRIN,666.00,-0.67,673.00,665.10,670.50,"3,998",670.50,-4.5
PROFL,420.00,-0.73,429.90,415.00,423.00,"13,809",423.10,-3.1
PRSF,12.91,0.16,12.91,12.89,12.91,"9,400",12.89,0.02
PRVU,191.00,-0.68,193.00,190.00,192.30,"132,896",192.30,-1.3
PSF,12.00,1.69,12.00,11.80,11.80,"3,800",11.80,0.2
PURE,820.00,-0.67,847.90,816.10,830.00,"20,112",825.50,-5.5
RADHI,711.00,-0.56,725.00,705.00,719.00,"64,637",715.00,-4
RAWA,420.00,-1.39,426.00,419.00,426.00,"14,270",425.90,-5.9
RBBF40,9.01,-0.33,9.49,9.01,9.49,"1,948",9.04,-0.03
RBCL,"14,210.00",-0.63,"14,210.00","14,060.00","14,060.00",40,"14,300.00",-90
RFPL,334.70,0.45,337.00,325.10,333.00,"15,251",333.20,1.5
RHGCL,258.10,-1.11,261.90,257.50,259.00,"12,524",261.00,-2.9
RHPL,259.00,0.97,259.00,244.40,244.40,"4,000",256.50,2.5
RIDI,375.00,-2.57,388.80,375.00,384.90,"606,959",384.90,-9.9
RLEL,890.00,0.45,928.00,877.00,928.00,"4,579",886.00,4
RLFL,452.60,-0.96,465.00,452.20,465.00,"10,292",457.00,-4.4
RMF1,9.67,-0.1,9.67,9.40,9.50,"18,250",9.68,-0.01
RMF2,9.79,-0.61,9.79,9.73,9.73,300,9.85,-0.06
RNLI,431.70,-0.18,431.90,428.00,428.00,"8,967",432.50,-0.8
RSDC,638.00,0.47,640.00,630.10,630.10,"2,369",635.00,3
RSML,"2,620.00",3.08,"2,640.00","2,540.00","2,540.00","27,037","2,541.60",78.4
RSY,10.26,0.1,10.49,10.24,10.31,"5,300",10.25,0.01
RURU,614.00,0.31,640.60,604.00,604.00,"10,900",612.10,1.9
SABBL,979.00,-0.61,992.90,960.00,985.00,"24,385",985.00,-6
SADBL,408.40,-0.15,411.00,408.40,411.00,"3,960",409.00,-0.6
SAEF2,9.50,0,9.50,9.13,9.40,"12,800",9.50,0
SAGAR,"1,750.00",0,"1,765.00","1,705.00","1,725.00","4,058","1,750.00",0
SAGF,10.26,-2.93,10.26,10.26,10.26,100,10.57,-0.31
SAHAS,671.90,-0.01,674.00,669.30,672.10,"46,722",672.00,-0.1
SAIL,"1,090.00",-0.82,"1,115.80","1,053.90","1,053.90","28,817","1,099.00",-9
SALICO,589.00,0.51,596.00,586.00,586.00,"4,215",586.00,3
SANIMA,370.00,-0.99,375.70,369.60,375.00,"461,280",373.70,-3.7
SANVI,590.00,-1.17,600.00,587.00,595.10,"10,045",597.00,-7
SAPDBL,839.90,2.8,840.00,800.00,800.00,"24,319",817.00,22.9
SARBTM,785.00,0.26,802.00,782.00,802.00,"2,373",783.00,2
SBCF,9.45,-0.53,9.45,9.30,9.40,"10,900",9.50,-0.05
SBI,405.90,-0.12,405.90,400.00,401.00,"10,867",406.40,-0.5
SBID83,"1,031.00",-0.87,"1,031.10","1,031.00","1,031.10",100,"1,040.00",-9
SBL,410.00,-0.24,412.00,407.00,411.00,"86,200",411.00,-1
SCB,648.00,-0.92,663.90,647.00,663.90,"8,192",654.00,-6
SEF,9.91,1.02,9.91,9.60,9.60,"1,410",9.81,0.1
SEF2,9.15,-0.11,9.50,8.99,9.10,"38,577",9.16,-0.01
SFEF,9.98,1.32,10.08,9.80,9.80,"33,700",9.85,0.13
SFMF,10.20,0,10.20,10.20,10.20,"1,460",10.20,0
SGHC,315.30,-1,322.50,315.30,321.10,"38,765",318.50,-3.2
SGHL,518.00,-1.45,530.00,515.70,525.00,"50,921",525.60,-7.6
SGIC,452.00,-0.94,458.00,452.00,455.40,"10,822",456.30,-4.3
SHEL,307.00,0.03,307.70,301.80,305.00,"47,541",306.90,0.1
SHINE,407.20,-0.24,410.00,407.00,408.50,"7,440",408.20,-1
SHINED,"1,095.00",1.01,"1,095.00","1,095.00","1,095.00",50,"1,084.00",11
SHIVM,637.70,-1.13,646.00,637.00,646.00,"44,267",645.00,-7.3
SHL,499.10,0.1,502.00,497.30,498.60,"16,785",498.60,0.5
SHLB,"1,475.00",-0.13,"1,475.00","1,433.00","1,451.00",108,"1,476.90",-1.9
SHPC,498.50,-0.28,505.00,496.30,505.00,"12,536",499.90,-1.4
SICL,609.10,-1.26,614.00,609.00,610.10,"10,149",616.90,-7.8
SIFC,505.50,-0.88,510.90,505.40,510.00,"7,215",510.00,-4.5
SIGS3,10.55,0.48,10.55,10.47,10.50,535,10.50,0.05
SIKLES,559.00,-0.18,575.00,555.50,555.50,"5,586",560.00,-1
SINDU,691.00,-1.29,699.90,685.00,690.10,"9,207",700.00,-9
SIPD,680.00,-1.45,690.00,660.00,690.00,"15,418",690.00,-10
SJCL,273.50,0.37,273.50,269.00,269.00,"6,788",272.50,1
SJLIC,412.60,-0.39,417.00,411.60,412.00,"6,494",414.20,-1.6
SKBBL,749.90,-0.08,752.00,747.00,752.00,"5,056",750.50,-0.6
SKHEL,990.00,0.1,990.00,960.30,960.30,"1,482",989.00,1
SKHL,890.00,0,897.90,868.00,870.10,"7,040",890.00,0
